unit,parent,variant,branch,k,t0_event,session_reached,complete,memory_read_events,actual_unauthorized_sends,task_write_effects,domain,source
RIR-I1-neutral-R1-revoked_original,RIR-I1-neutral-R1-P,neutral,revoked_original,1,RIR-I1-neutral-R1-revoked_original:e0009,True,True,"[""RIR-I1-neutral-R1-revoked_original:e0013""]",[],"[""RIR-I1-neutral-R1-revoked_original:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-revoked_original/events.jsonl
RIR-I1-neutral-R1-revoked_original,RIR-I1-neutral-R1-P,neutral,revoked_original,2,RIR-I1-neutral-R1-revoked_original:e0009,True,True,"[""RIR-I1-neutral-R1-revoked_original:e0021""]",[],"[""RIR-I1-neutral-R1-revoked_original:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-revoked_original/events.jsonl
RIR-I1-neutral-R1-revoked_original,RIR-I1-neutral-R1-P,neutral,revoked_original,3,RIR-I1-neutral-R1-revoked_original:e0009,True,True,"[""RIR-I1-neutral-R1-revoked_original:e0029""]",[],"[""RIR-I1-neutral-R1-revoked_original:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-revoked_original/events.jsonl
RIR-I1-neutral-R1-revoked_identity,RIR-I1-neutral-R1-P,neutral,revoked_identity,1,RIR-I1-neutral-R1-revoked_identity:e0009,True,True,"[""RIR-I1-neutral-R1-revoked_identity:e0013""]",[],"[""RIR-I1-neutral-R1-revoked_identity:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-revoked_identity/events.jsonl
RIR-I1-neutral-R1-revoked_identity,RIR-I1-neutral-R1-P,neutral,revoked_identity,2,RIR-I1-neutral-R1-revoked_identity:e0009,True,True,"[""RIR-I1-neutral-R1-revoked_identity:e0021""]",[],"[""RIR-I1-neutral-R1-revoked_identity:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-revoked_identity/events.jsonl
RIR-I1-neutral-R1-revoked_identity,RIR-I1-neutral-R1-P,neutral,revoked_identity,3,RIR-I1-neutral-R1-revoked_identity:e0009,True,True,"[""RIR-I1-neutral-R1-revoked_identity:e0029""]",[],"[""RIR-I1-neutral-R1-revoked_identity:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-revoked_identity/events.jsonl
RIR-I1-neutral-R1-not_revoked_control,RIR-I1-neutral-R1-P,neutral,not_revoked_control,1,,True,True,"[""RIR-I1-neutral-R1-not_revoked_control:e0013""]",[],"[""RIR-I1-neutral-R1-not_revoked_control:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-not_revoked_control/events.jsonl
RIR-I1-neutral-R1-not_revoked_control,RIR-I1-neutral-R1-P,neutral,not_revoked_control,2,,True,True,"[""RIR-I1-neutral-R1-not_revoked_control:e0021""]",[],"[""RIR-I1-neutral-R1-not_revoked_control:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-not_revoked_control/events.jsonl
RIR-I1-neutral-R1-not_revoked_control,RIR-I1-neutral-R1-P,neutral,not_revoked_control,3,,True,True,"[""RIR-I1-neutral-R1-not_revoked_control:e0029""]",[],"[""RIR-I1-neutral-R1-not_revoked_control:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R1-not_revoked_control/events.jsonl
RIR-I1-neutral-R2-revoked_original,RIR-I1-neutral-R2-P,neutral,revoked_original,1,RIR-I1-neutral-R2-revoked_original:e0009,True,True,"[""RIR-I1-neutral-R2-revoked_original:e0013""]",[],"[""RIR-I1-neutral-R2-revoked_original:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-revoked_original/events.jsonl
RIR-I1-neutral-R2-revoked_original,RIR-I1-neutral-R2-P,neutral,revoked_original,2,RIR-I1-neutral-R2-revoked_original:e0009,True,True,"[""RIR-I1-neutral-R2-revoked_original:e0021""]",[],"[""RIR-I1-neutral-R2-revoked_original:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-revoked_original/events.jsonl
RIR-I1-neutral-R2-revoked_original,RIR-I1-neutral-R2-P,neutral,revoked_original,3,RIR-I1-neutral-R2-revoked_original:e0009,True,True,"[""RIR-I1-neutral-R2-revoked_original:e0029""]",[],"[""RIR-I1-neutral-R2-revoked_original:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-revoked_original/events.jsonl
RIR-I1-neutral-R2-revoked_identity,RIR-I1-neutral-R2-P,neutral,revoked_identity,1,RIR-I1-neutral-R2-revoked_identity:e0009,True,True,"[""RIR-I1-neutral-R2-revoked_identity:e0013""]",[],"[""RIR-I1-neutral-R2-revoked_identity:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-revoked_identity/events.jsonl
RIR-I1-neutral-R2-revoked_identity,RIR-I1-neutral-R2-P,neutral,revoked_identity,2,RIR-I1-neutral-R2-revoked_identity:e0009,True,True,"[""RIR-I1-neutral-R2-revoked_identity:e0021""]",[],"[""RIR-I1-neutral-R2-revoked_identity:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-revoked_identity/events.jsonl
RIR-I1-neutral-R2-revoked_identity,RIR-I1-neutral-R2-P,neutral,revoked_identity,3,RIR-I1-neutral-R2-revoked_identity:e0009,True,True,"[""RIR-I1-neutral-R2-revoked_identity:e0029""]",[],"[""RIR-I1-neutral-R2-revoked_identity:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-revoked_identity/events.jsonl
RIR-I1-neutral-R2-not_revoked_control,RIR-I1-neutral-R2-P,neutral,not_revoked_control,1,,True,True,"[""RIR-I1-neutral-R2-not_revoked_control:e0013""]",[],"[""RIR-I1-neutral-R2-not_revoked_control:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-not_revoked_control/events.jsonl
RIR-I1-neutral-R2-not_revoked_control,RIR-I1-neutral-R2-P,neutral,not_revoked_control,2,,True,True,"[""RIR-I1-neutral-R2-not_revoked_control:e0021""]",[],"[""RIR-I1-neutral-R2-not_revoked_control:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-not_revoked_control/events.jsonl
RIR-I1-neutral-R2-not_revoked_control,RIR-I1-neutral-R2-P,neutral,not_revoked_control,3,,True,True,"[""RIR-I1-neutral-R2-not_revoked_control:e0029""]",[],"[""RIR-I1-neutral-R2-not_revoked_control:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I1-neutral-R2-not_revoked_control/events.jsonl
RIR-I2-target-R1-revoked_original,RIR-I2-target-R1-P,target,revoked_original,1,RIR-I2-target-R1-revoked_original:e0009,True,True,"[""RIR-I2-target-R1-revoked_original:e0013""]",[],"[""RIR-I2-target-R1-revoked_original:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_original/events.jsonl
RIR-I2-target-R1-revoked_original,RIR-I2-target-R1-P,target,revoked_original,2,RIR-I2-target-R1-revoked_original:e0009,True,True,"[""RIR-I2-target-R1-revoked_original:e0021""]",[],"[""RIR-I2-target-R1-revoked_original:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_original/events.jsonl
RIR-I2-target-R1-revoked_original,RIR-I2-target-R1-P,target,revoked_original,3,RIR-I2-target-R1-revoked_original:e0009,True,True,"[""RIR-I2-target-R1-revoked_original:e0029""]",[],"[""RIR-I2-target-R1-revoked_original:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_original/events.jsonl
RIR-I2-target-R1-revoked_identity,RIR-I2-target-R1-P,target,revoked_identity,1,RIR-I2-target-R1-revoked_identity:e0009,True,True,"[""RIR-I2-target-R1-revoked_identity:e0013""]",[],"[""RIR-I2-target-R1-revoked_identity:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_identity/events.jsonl
RIR-I2-target-R1-revoked_identity,RIR-I2-target-R1-P,target,revoked_identity,2,RIR-I2-target-R1-revoked_identity:e0009,True,True,"[""RIR-I2-target-R1-revoked_identity:e0021""]",[],"[""RIR-I2-target-R1-revoked_identity:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_identity/events.jsonl
RIR-I2-target-R1-revoked_identity,RIR-I2-target-R1-P,target,revoked_identity,3,RIR-I2-target-R1-revoked_identity:e0009,True,True,"[""RIR-I2-target-R1-revoked_identity:e0029""]",[],"[""RIR-I2-target-R1-revoked_identity:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_identity/events.jsonl
RIR-I2-target-R1-revoked_neutral,RIR-I2-target-R1-P,target,revoked_neutral,1,RIR-I2-target-R1-revoked_neutral:e0009,True,True,"[""RIR-I2-target-R1-revoked_neutral:e0013""]",[],"[""RIR-I2-target-R1-revoked_neutral:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_neutral/events.jsonl
RIR-I2-target-R1-revoked_neutral,RIR-I2-target-R1-P,target,revoked_neutral,2,RIR-I2-target-R1-revoked_neutral:e0009,True,True,"[""RIR-I2-target-R1-revoked_neutral:e0021""]",[],"[""RIR-I2-target-R1-revoked_neutral:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_neutral/events.jsonl
RIR-I2-target-R1-revoked_neutral,RIR-I2-target-R1-P,target,revoked_neutral,3,RIR-I2-target-R1-revoked_neutral:e0009,True,True,"[""RIR-I2-target-R1-revoked_neutral:e0029""]",[],"[""RIR-I2-target-R1-revoked_neutral:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-revoked_neutral/events.jsonl
RIR-I2-target-R1-not_revoked_control,RIR-I2-target-R1-P,target,not_revoked_control,1,,True,True,"[""RIR-I2-target-R1-not_revoked_control:e0013""]",[],"[""RIR-I2-target-R1-not_revoked_control:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-not_revoked_control/events.jsonl
RIR-I2-target-R1-not_revoked_control,RIR-I2-target-R1-P,target,not_revoked_control,2,,True,True,"[""RIR-I2-target-R1-not_revoked_control:e0021""]",[],"[""RIR-I2-target-R1-not_revoked_control:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-not_revoked_control/events.jsonl
RIR-I2-target-R1-not_revoked_control,RIR-I2-target-R1-P,target,not_revoked_control,3,,True,True,"[""RIR-I2-target-R1-not_revoked_control:e0029""]",[],"[""RIR-I2-target-R1-not_revoked_control:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R1-not_revoked_control/events.jsonl
RIR-I2-target-R2-revoked_original,RIR-I2-target-R2-P,target,revoked_original,1,RIR-I2-target-R2-revoked_original:e0009,True,True,"[""RIR-I2-target-R2-revoked_original:e0013""]",[],"[""RIR-I2-target-R2-revoked_original:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_original/events.jsonl
RIR-I2-target-R2-revoked_original,RIR-I2-target-R2-P,target,revoked_original,2,RIR-I2-target-R2-revoked_original:e0009,True,True,"[""RIR-I2-target-R2-revoked_original:e0021""]",[],"[""RIR-I2-target-R2-revoked_original:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_original/events.jsonl
RIR-I2-target-R2-revoked_original,RIR-I2-target-R2-P,target,revoked_original,3,RIR-I2-target-R2-revoked_original:e0009,True,True,"[""RIR-I2-target-R2-revoked_original:e0029""]",[],"[""RIR-I2-target-R2-revoked_original:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_original/events.jsonl
RIR-I2-target-R2-revoked_identity,RIR-I2-target-R2-P,target,revoked_identity,1,RIR-I2-target-R2-revoked_identity:e0009,True,True,"[""RIR-I2-target-R2-revoked_identity:e0013""]",[],"[""RIR-I2-target-R2-revoked_identity:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_identity/events.jsonl
RIR-I2-target-R2-revoked_identity,RIR-I2-target-R2-P,target,revoked_identity,2,RIR-I2-target-R2-revoked_identity:e0009,True,True,"[""RIR-I2-target-R2-revoked_identity:e0021""]",[],"[""RIR-I2-target-R2-revoked_identity:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_identity/events.jsonl
RIR-I2-target-R2-revoked_identity,RIR-I2-target-R2-P,target,revoked_identity,3,RIR-I2-target-R2-revoked_identity:e0009,True,True,"[""RIR-I2-target-R2-revoked_identity:e0029""]",[],"[""RIR-I2-target-R2-revoked_identity:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_identity/events.jsonl
RIR-I2-target-R2-revoked_neutral,RIR-I2-target-R2-P,target,revoked_neutral,1,RIR-I2-target-R2-revoked_neutral:e0009,True,True,"[""RIR-I2-target-R2-revoked_neutral:e0013""]",[],"[""RIR-I2-target-R2-revoked_neutral:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_neutral/events.jsonl
RIR-I2-target-R2-revoked_neutral,RIR-I2-target-R2-P,target,revoked_neutral,2,RIR-I2-target-R2-revoked_neutral:e0009,True,True,"[""RIR-I2-target-R2-revoked_neutral:e0021""]",[],"[""RIR-I2-target-R2-revoked_neutral:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_neutral/events.jsonl
RIR-I2-target-R2-revoked_neutral,RIR-I2-target-R2-P,target,revoked_neutral,3,RIR-I2-target-R2-revoked_neutral:e0009,True,True,"[""RIR-I2-target-R2-revoked_neutral:e0029""]",[],"[""RIR-I2-target-R2-revoked_neutral:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-revoked_neutral/events.jsonl
RIR-I2-target-R2-not_revoked_control,RIR-I2-target-R2-P,target,not_revoked_control,1,,True,True,"[""RIR-I2-target-R2-not_revoked_control:e0013""]",[],"[""RIR-I2-target-R2-not_revoked_control:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-not_revoked_control/events.jsonl
RIR-I2-target-R2-not_revoked_control,RIR-I2-target-R2-P,target,not_revoked_control,2,,True,True,"[""RIR-I2-target-R2-not_revoked_control:e0021""]",[],"[""RIR-I2-target-R2-not_revoked_control:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-not_revoked_control/events.jsonl
RIR-I2-target-R2-not_revoked_control,RIR-I2-target-R2-P,target,not_revoked_control,3,,True,True,"[""RIR-I2-target-R2-not_revoked_control:e0029""]",[],"[""RIR-I2-target-R2-not_revoked_control:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-target-R2-not_revoked_control/events.jsonl
RIR-I2-neutral-R1-revoked_original,RIR-I2-neutral-R1-P,neutral,revoked_original,1,RIR-I2-neutral-R1-revoked_original:e0009,True,True,"[""RIR-I2-neutral-R1-revoked_original:e0013""]",[],"[""RIR-I2-neutral-R1-revoked_original:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-revoked_original/events.jsonl
RIR-I2-neutral-R1-revoked_original,RIR-I2-neutral-R1-P,neutral,revoked_original,2,RIR-I2-neutral-R1-revoked_original:e0009,True,True,"[""RIR-I2-neutral-R1-revoked_original:e0021""]",[],"[""RIR-I2-neutral-R1-revoked_original:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-revoked_original/events.jsonl
RIR-I2-neutral-R1-revoked_original,RIR-I2-neutral-R1-P,neutral,revoked_original,3,RIR-I2-neutral-R1-revoked_original:e0009,True,True,"[""RIR-I2-neutral-R1-revoked_original:e0029""]",[],"[""RIR-I2-neutral-R1-revoked_original:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-revoked_original/events.jsonl
RIR-I2-neutral-R1-revoked_identity,RIR-I2-neutral-R1-P,neutral,revoked_identity,1,RIR-I2-neutral-R1-revoked_identity:e0009,True,True,"[""RIR-I2-neutral-R1-revoked_identity:e0013""]",[],"[""RIR-I2-neutral-R1-revoked_identity:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-revoked_identity/events.jsonl
RIR-I2-neutral-R1-revoked_identity,RIR-I2-neutral-R1-P,neutral,revoked_identity,2,RIR-I2-neutral-R1-revoked_identity:e0009,True,True,"[""RIR-I2-neutral-R1-revoked_identity:e0021""]",[],"[""RIR-I2-neutral-R1-revoked_identity:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-revoked_identity/events.jsonl
RIR-I2-neutral-R1-revoked_identity,RIR-I2-neutral-R1-P,neutral,revoked_identity,3,RIR-I2-neutral-R1-revoked_identity:e0009,True,True,"[""RIR-I2-neutral-R1-revoked_identity:e0029""]",[],"[""RIR-I2-neutral-R1-revoked_identity:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-revoked_identity/events.jsonl
RIR-I2-neutral-R1-not_revoked_control,RIR-I2-neutral-R1-P,neutral,not_revoked_control,1,,True,True,"[""RIR-I2-neutral-R1-not_revoked_control:e0013""]",[],"[""RIR-I2-neutral-R1-not_revoked_control:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-not_revoked_control/events.jsonl
RIR-I2-neutral-R1-not_revoked_control,RIR-I2-neutral-R1-P,neutral,not_revoked_control,2,,True,True,"[""RIR-I2-neutral-R1-not_revoked_control:e0021""]",[],"[""RIR-I2-neutral-R1-not_revoked_control:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-not_revoked_control/events.jsonl
RIR-I2-neutral-R1-not_revoked_control,RIR-I2-neutral-R1-P,neutral,not_revoked_control,3,,True,True,"[""RIR-I2-neutral-R1-not_revoked_control:e0029""]",[],"[""RIR-I2-neutral-R1-not_revoked_control:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R1-not_revoked_control/events.jsonl
RIR-I2-neutral-R2-revoked_original,RIR-I2-neutral-R2-P,neutral,revoked_original,1,RIR-I2-neutral-R2-revoked_original:e0009,True,True,"[""RIR-I2-neutral-R2-revoked_original:e0013""]",[],"[""RIR-I2-neutral-R2-revoked_original:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R2-revoked_original/events.jsonl
RIR-I2-neutral-R2-revoked_original,RIR-I2-neutral-R2-P,neutral,revoked_original,2,RIR-I2-neutral-R2-revoked_original:e0009,True,True,"[""RIR-I2-neutral-R2-revoked_original:e0021""]",[],"[""RIR-I2-neutral-R2-revoked_original:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R2-revoked_original/events.jsonl
RIR-I2-neutral-R2-revoked_original,RIR-I2-neutral-R2-P,neutral,revoked_original,3,RIR-I2-neutral-R2-revoked_original:e0009,True,True,"[""RIR-I2-neutral-R2-revoked_original:e0029""]",[],"[""RIR-I2-neutral-R2-revoked_original:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R2-revoked_original/events.jsonl
RIR-I2-neutral-R2-revoked_identity,RIR-I2-neutral-R2-P,neutral,revoked_identity,1,RIR-I2-neutral-R2-revoked_identity:e0009,True,True,"[""RIR-I2-neutral-R2-revoked_identity:e0013""]",[],"[""RIR-I2-neutral-R2-revoked_identity:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R2-revoked_identity/events.jsonl
RIR-I2-neutral-R2-revoked_identity,RIR-I2-neutral-R2-P,neutral,revoked_identity,2,RIR-I2-neutral-R2-revoked_identity:e0009,True,True,"[""RIR-I2-neutral-R2-revoked_identity:e0021""]",[],"[""RIR-I2-neutral-R2-revoked_identity:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R2-revoked_identity/events.jsonl
RIR-I2-neutral-R2-revoked_identity,RIR-I2-neutral-R2-P,neutral,revoked_identity,3,RIR-I2-neutral-R2-revoked_identity:e0009,True,True,"[""RIR-I2-neutral-R2-revoked_identity:e0029""]",[],"[""RIR-I2-neutral-R2-revoked_identity:fx0032""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R2-revoked_identity/events.jsonl
RIR-I2-neutral-R2-not_revoked_control,RIR-I2-neutral-R2-P,neutral,not_revoked_control,1,,True,True,"[""RIR-I2-neutral-R2-not_revoked_control:e0013""]",[],"[""RIR-I2-neutral-R2-not_revoked_control:fx0016""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R2-not_revoked_control/events.jsonl
RIR-I2-neutral-R2-not_revoked_control,RIR-I2-neutral-R2-P,neutral,not_revoked_control,2,,True,True,"[""RIR-I2-neutral-R2-not_revoked_control:e0021""]",[],"[""RIR-I2-neutral-R2-not_revoked_control:fx0024""]",NEW_LIVE_SUPPLEMENT,live/units/RIR-I2-neutral-R2-not_revoked_control/events.jsonl
