view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,cell,denominator,planned,true,unknown
V01,i_99fb18bbf02b615f24b30dd4,HISTORICAL_LIVE,g,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16565,True,bounded,,0.0,1.0,p01,1,15,0,1
V01,i_99fb18bbf02b615f24b30dd4,HISTORICAL_LIVE,g,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16565,True,bounded,,0.0,0.0,p10,1,15,0,0
V01,i_99fb18bbf02b615f24b30dd4,HISTORICAL_LIVE,g,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16565,True,bounded,,0.0,1.0,p11,1,15,0,1
V01,i_63221a8b3fbb859c22ccc1e7,HISTORICAL_LIVE,h,c1-context-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16567,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_63221a8b3fbb859c22ccc1e7,HISTORICAL_LIVE,h,c1-context-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16567,True,bounded,,0.0,1.0,p01,15,15,0,15
V01,i_63221a8b3fbb859c22ccc1e7,HISTORICAL_LIVE,h,c1-context-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16567,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_63221a8b3fbb859c22ccc1e7,HISTORICAL_LIVE,h,c1-context-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16567,True,bounded,,0.0,1.0,p11,15,15,0,15
V01,i_d15c48fbf8946b62d1799de0,HISTORICAL_LIVE,h,c1-context-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16568,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_d15c48fbf8946b62d1799de0,HISTORICAL_LIVE,h,c1-context-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16568,True,bounded,,0.0,1.0,p01,15,15,0,15
V01,i_d15c48fbf8946b62d1799de0,HISTORICAL_LIVE,h,c1-context-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16568,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_d15c48fbf8946b62d1799de0,HISTORICAL_LIVE,h,c1-context-grid,valid_only,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16568,True,bounded,,0.0,1.0,p11,15,15,0,15
V01,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16570,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16570,True,bounded,,0.0,1.0,p01,15,15,0,15
V01,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16570,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_a9b8388644a103fe92cd66c2,HISTORICAL_LIVE,h,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/h/matrix.jsonl,results/V01.jsonl#L16570,True,bounded,,0.0,1.0,p11,15,15,0,15
